date,amount,category,description
2024-11-15,3701.11,Income,salary
2024-11-11,235.76,Expense,Car Insurance
2024-11-11,2589.33,Income,freelance
2024-11-27,1062.0,Income,interest
2024-11-29,4775.84,Income,investment return
2024-11-23,3992.75,Income,freelance
2024-11-10,153.41,Expense,gas
2024-11-15,3918.64,Income,interest
2024-11-18,276.15,Expense,entertainment
2024-11-13,371.26,Expense,eggs and bread
2024-11-01,4751.28,Income,bonus
2024-11-09,47.54,Expense,utilities
2024-11-02,3061.33,Income,interest
2024-11-30,2520.46,Income,bonus
2024-11-06,767.01,Income,interest
2024-11-01,190.3,Expense,utilities
2024-11-21,4155.77,Income,bonus
2024-11-27,263.09,Expense,Car Insurance
2024-11-26,307.21,Expense,eggs and bread
2024-11-24,730.99,Income,salary
2024-11-18,464.4,Expense,utilities
2024-11-23,404.22,Expense,grocery
2024-11-11,117.76,Expense,grocery
2024-11-23,97.8,Expense,eggs and bread
2024-11-10,304.24,Income,bonus
2024-11-29,238.74,Expense,gas
2024-11-24,2686.46,Income,salary
2024-11-25,239.7,Expense,gas
2024-11-19,234.61,Expense,restaurant
2024-11-24,1618.82,Income,salary
